Time,Open,High,Low,Close,Volume
2015-03-27 00:00:00,1.08762,1.09485,1.08011,1.08874,205406
2015-03-29 00:00:00,1.08861,1.0895,1.08549,1.08726,21563
2015-03-30 00:00:00,1.08728,1.08814,1.08098,1.0816,185910
2015-03-31 00:00:00,1.08162,1.08196,1.0713,1.07791,208899
2015-04-01 00:00:00,1.07791,1.07999,1.07184,1.07662,189236
2015-04-02 00:00:00,1.07663,1.0905,1.07661,1.08683,184302
2015-04-03 00:00:00,1.08683,1.1027,1.08669,1.09713,81662
2015-04-05 00:00:00,1.10004,1.10178,1.09738,1.09811,22136
2015-04-06 00:00:00,1.09812,1.10356,1.091,1.09516,109816
2015-04-07 00:00:00,1.09517,1.09526,1.08032,1.08321,191788
2015-04-08 00:00:00,1.08323,1.08873,1.07605,1.07827,213618
2015-04-09 00:00:00,1.07829,1.07886,1.06377,1.06708,187838
2015-04-10 00:00:00,1.06707,1.06833,1.05679,1.06022,157233
2015-04-12 00:00:00,1.05853,1.0619,1.05847,1.05962,24385
2015-04-13 00:00:00,1.05964,1.0617,1.05203,1.05776,181980
2015-04-14 00:00:00,1.05775,1.07074,1.05315,1.06325,192368
2015-04-15 00:00:00,1.06326,1.07466,1.05708,1.06962,218188
2015-04-16 00:00:00,1.06961,1.08175,1.06247,1.07685,271078
2015-04-17 00:00:00,1.07685,1.08487,1.07335,1.08048,203968
2015-04-19 00:00:00,1.08186,1.0821,1.07887,1.07969,26117
2015-04-20 00:00:00,1.0797,1.08055,1.07124,1.07273,204114
2015-04-21 00:00:00,1.07272,1.07811,1.06599,1.0728,202019
2015-04-22 00:00:00,1.07279,1.08008,1.06914,1.06983,219829
2015-04-23 00:00:00,1.06983,1.08452,1.06659,1.07964,244897
2015-04-24 00:00:00,1.07964,1.09,1.07848,1.08706,207706
2015-04-26 00:00:00,1.08634,1.0878,1.08594,1.08639,23268
2015-04-27 00:00:00,1.0864,1.09266,1.08192,1.08766,195013
2015-04-28 00:00:00,1.08766,1.0991,1.08598,1.0968,214633
2015-04-29 00:00:00,1.09681,1.11879,1.09595,1.11151,268098
2015-04-30 00:00:00,1.11151,1.12662,1.10712,1.12078,279076
2015-05-01 00:00:00,1.12078,1.129,1.11746,1.11948,150195
2015-05-03 00:00:00,1.11918,1.12005,1.11764,1.11905,22936
2015-05-04 00:00:00,1.11905,1.12245,1.11228,1.11395,167553
2015-05-05 00:00:00,1.11394,1.12231,1.10663,1.12155,240121
2015-05-06 00:00:00,1.12156,1.137,1.12022,1.13365,240885
2015-05-07 00:00:00,1.13365,1.13916,1.12101,1.12115,258460
2015-05-08 00:00:00,1.12115,1.1288,1.1179,1.12015,213671
2015-05-10 00:00:00,1.11975,1.12065,1.11516,1.1157,33872
2015-05-11 00:00:00,1.11571,1.11963,1.1131,1.11619,202886
2015-05-12 00:00:00,1.11618,1.12787,1.11534,1.12356,223878
2015-05-13 00:00:00,1.12355,1.13827,1.12023,1.13464,229583
2015-05-14 00:00:00,1.13464,1.14447,1.13435,1.14053,259072
2015-05-15 00:00:00,1.14052,1.14669,1.13239,1.14484,205729
2015-05-17 00:00:00,1.14469,1.14492,1.1419,1.14332,24145
2015-05-18 00:00:00,1.14329,1.14468,1.12853,1.12964,199787
2015-05-19 00:00:00,1.12963,1.1321,1.11184,1.11439,229183
2015-05-20 00:00:00,1.11439,1.11462,1.10621,1.1123,249812
2015-05-21 00:00:00,1.11232,1.11813,1.10797,1.11343,222730
2015-05-22 00:00:00,1.11342,1.12083,1.10023,1.10074,193234
2015-05-24 00:00:00,1.10016,1.10095,1.09644,1.09872,26851
2015-05-25 00:00:00,1.09872,1.10067,1.09311,1.09499,95251
2015-05-26 00:00:00,1.09498,1.09507,1.08633,1.08761,223760
2015-05-27 00:00:00,1.0876,1.0929,1.08192,1.08929,220833
2015-05-28 00:00:00,1.08929,1.09742,1.08671,1.09527,227727
2015-05-29 00:00:00,1.09527,1.10062,1.09258,1.09831,194478
2015-05-31 00:00:00,1.09803,1.09885,1.09304,1.0951,24480
2015-06-01 00:00:00,1.09509,1.0979,1.08873,1.09265,220995
2015-06-02 00:00:00,1.09265,1.11942,1.09181,1.11595,257943
2015-06-03 00:00:00,1.11595,1.1285,1.10794,1.12657,252324
2015-06-04 00:00:00,1.12657,1.13798,1.11798,1.12121,265773
2015-06-05 00:00:00,1.12121,1.12801,1.10495,1.11124,215308
2015-06-07 00:00:00,1.10966,1.11122,1.10842,1.11006,22158
2015-06-08 00:00:00,1.11006,1.13317,1.1087,1.13212,224575
2015-06-09 00:00:00,1.13212,1.13454,1.1214,1.12846,220530
2015-06-10 00:00:00,1.12845,1.13865,1.126,1.13021,243283
2015-06-11 00:00:00,1.1302,1.13315,1.1182,1.12549,205204
2015-06-12 00:00:00,1.12549,1.12965,1.11512,1.12648,199395
2015-06-14 00:00:00,1.12102,1.1231,1.11949,1.12079,24564
2015-06-15 00:00:00,1.12079,1.12944,1.11891,1.12722,200208
2015-06-16 00:00:00,1.12725,1.13298,1.12048,1.12535,186932
2015-06-17 00:00:00,1.12536,1.13718,1.12065,1.13606,222734
2015-06-18 00:00:00,1.13606,1.14364,1.13383,1.13744,232843
2015-06-19 00:00:00,1.13743,1.13768,1.1292,1.13487,154491
